variable_id,variable,inspection_grade,ablation_screen_category,split,dose,primary_dose,intervention_kind,target_feature,intervention_feature,feature_high_side,steering_side,train_target_activation_gap,steering_coefficient,baseline_downstream_score,steered_downstream_score,mean_attenuation,attenuation_fraction,attenuation_ci_low,attenuation_ci_high,attenuation_bootstrap_p,mean_final_repr_cosine_to_baseline
2,basic_constituent_order,C,positive_control_advantage,val,0.5,False,matched_control,932,1887,changed,basis,0.016185056505492,0.008092528252746,0.8003606200218201,0.8006833791732788,-0.00032260645180940626,-0.00040307636800097826,-0.0012396489372476934,0.000610136920586228,0.5247376311844077,0.999998943155382
2,basic_constituent_order,C,positive_control_advantage,val,0.5,False,matched_control,932,1302,changed,basis,0.016185056505492,0.008092528252746,0.8003606200218201,0.8024991750717163,-0.0021384082362055777,-0.002671805911874173,-0.0033746444368734953,-0.0008969167433679117,0.001999000499750125,0.9999988629723756
2,basic_constituent_order,C,positive_control_advantage,val,0.5,False,matched_control,932,7136,changed,basis,0.016185056505492,0.008092528252746,0.8003606200218201,0.801276683807373,-0.0009159637242555619,-0.0011444387709012847,-0.001664191646501422,-0.00011564460583031185,0.01999000499750125,0.999998922546667
2,basic_constituent_order,C,positive_control_advantage,val,1.0,True,target,932,932,changed,basis,0.016185056505492,0.016185056505492,0.8003606200218201,0.7998223900794983,0.0005382733047008515,0.0006725384673301101,-0.00043011001590639354,0.0014864252004772424,0.24087956021989004,0.9999988393982346
2,basic_constituent_order,C,positive_control_advantage,val,1.0,True,matched_control,932,1887,changed,basis,0.016185056505492,0.016185056505492,0.8003606200218201,0.7990518808364868,0.001308850795030594,0.0016353263295174505,6.100166309624911e-05,0.0024975910177454353,0.04397801099450275,0.9999987548983501
2,basic_constituent_order,C,positive_control_advantage,val,1.0,True,matched_control,932,1302,changed,basis,0.016185056505492,0.016185056505492,0.8003606200218201,0.8007155656814575,-0.00035483404994010923,-0.0004433427146008701,-0.0014020810518413783,0.0007322348179295653,0.4827586206896552,0.9999987712098782
2,basic_constituent_order,C,positive_control_advantage,val,1.0,True,matched_control,932,7136,changed,basis,0.016185056505492,0.016185056505492,0.8003606200218201,0.7995871901512146,0.0007735079154372216,0.0009664492431126029,-0.00018587212171405554,0.0017533139176666734,0.10394802598700649,0.9999987785960578
2,basic_constituent_order,C,positive_control_advantage,val,2.0,False,target,932,932,changed,basis,0.016185056505492,0.032370113010984,0.8003606200218201,0.796479344367981,0.0038813553005456925,0.004849508088541232,0.002279039578512311,0.005462034605443478,0.0009995002498750624,0.9999983894934528
2,basic_constituent_order,C,positive_control_advantage,val,2.0,False,matched_control,932,1887,changed,basis,0.016185056505492,0.032370113010984,0.8003606200218201,0.7994014024734497,0.0009592797607183457,0.0011985594202425815,-0.00025167391542345286,0.002214812209829688,0.12493753123438281,0.9999979409634008
2,basic_constituent_order,C,positive_control_advantage,val,2.0,False,matched_control,932,1302,changed,basis,0.016185056505492,0.032370113010984,0.8003606200218201,0.7991266846656799,0.0012340523302555085,0.001541870376158518,2.0902942866086995e-05,0.002479954283684492,0.050974512743628186,0.9999980191976396
2,basic_constituent_order,C,positive_control_advantage,val,2.0,False,matched_control,932,7136,changed,basis,0.016185056505492,0.032370113010984,0.8003606200218201,0.800639808177948,-0.0002791265770792961,-0.00034875101310167703,-0.0013178081149235368,0.000808054683730006,0.592703648175912,0.9999982136764478
2,basic_constituent_order,C,positive_control_advantage,test,0.5,False,target,932,932,changed,basis,0.016185056505492,0.008092528252746,0.17077083885669708,0.16949032247066498,0.001280488520860672,0.007498285593919219,0.00011909957602620126,0.0024324538484215715,0.028985507246376812,0.9999987305796667
2,basic_constituent_order,C,positive_control_advantage,test,0.5,False,matched_control,932,1887,changed,basis,0.016185056505492,0.008092528252746,0.17077083885669708,0.16970735788345337,0.001063435524702072,0.00622726650417439,2.8323825448751462e-05,0.002143540903925895,0.04097951024487756,0.999998779420122
2,basic_constituent_order,C,positive_control_advantage,test,0.5,False,matched_control,932,1302,changed,basis,0.016185056505492,0.008092528252746,0.17077083885669708,0.17163141071796417,-0.0008605721592903137,-0.005039339064279386,-0.002118981033563614,0.00043496567755937514,0.1969015492253873,0.9999987260244123
2,basic_constituent_order,C,positive_control_advantage,test,0.5,False,matched_control,932,7136,changed,basis,0.016185056505492,0.008092528252746,0.17077083885669708,0.1698681116104126,0.0009026928246021271,0.0052859892862599615,-8.082586154341697e-05,0.0018717432543635358,0.08095952023988005,0.9999988066413894
2,basic_constituent_order,C,positive_control_advantage,test,1.0,True,target,932,932,changed,basis,0.016185056505492,0.016185056505492,0.17077083885669708,0.16893833875656128,0.0018324911594390868,0.01073070303868934,0.0006231272518634796,0.0031089857593178745,0.005997001499250375,0.9999986326471795
2,basic_constituent_order,C,positive_control_advantage,test,1.0,True,matched_control,932,1887,changed,basis,0.016185056505492,0.016185056505492,0.17077083885669708,0.1686888486146927,0.002081952542066574,0.012191499181037879,0.0009390072040259839,0.003212228458374738,0.0009995002498750624,0.9999985834040922
2,basic_constituent_order,C,positive_control_advantage,test,1.0,True,matched_control,932,1302,changed,basis,0.016185056505492,0.016185056505492,0.17077083885669708,0.1700347661972046,0.0007360440492630005,0.004310127268746711,-0.0004746057614684105,0.001990992948412895,0.2368815592203898,0.9999986054015383
2,basic_constituent_order,C,positive_control_advantage,test,1.0,True,matched_control,932,7136,changed,basis,0.016185056505492,0.016185056505492,0.17077083885669708,0.1696583777666092,0.0011124475300312042,0.006514271039944461,-4.1893426328897464e-05,0.00213734545186162,0.06196901549225387,0.9999986141253163
