variable_id,variable,pooling,rank,feature_id,train_effect,val_effect,test_effect,train_cohen_dz,val_cohen_dz,test_cohen_dz,train_nonzero_fraction,val_nonzero_fraction,test_nonzero_fraction,train_direction_fraction,val_direction_fraction,test_direction_fraction,val_same_direction,test_same_direction
22,tense_prominence,mean,23,11776,0.37865883111953735,0.09086628258228302,0.07743946462869644,0.40861189365386963,0.0903266966342926,0.07689206302165985,1.0,1.0,1.0,0.6275,0.58,0.5,True,True
22,tense_prominence,mean,24,11740,0.37828928232192993,0.051994774490594864,-0.06018310785293579,0.40814629197120667,0.05154192075133324,-0.059686433523893356,0.395,0.24,0.2,0.3125,0.14,0.12,True,False
22,tense_prominence,mean,25,13219,-0.3761977255344391,-0.22260846197605133,-0.22236330807209015,-0.4055170714855194,-0.22604306042194366,-0.2257811427116394,0.7675,0.64,0.64,0.4625,0.32,0.42,True,True
22,tense_prominence,final,1,7247,-0.5176082849502563,-0.4271300137042999,-0.2687240242958069,-0.6041958928108215,-0.4676417410373688,-0.2761819660663605,1.0,1.0,1.0,0.755,0.74,0.64,True,True
22,tense_prominence,final,2,5219,0.48587852716445923,0.3371292054653168,0.40939587354660034,0.5552116632461548,0.3544935882091522,0.44421347975730896,0.605,0.74,0.9,0.4775,0.5,0.54,True,True
22,tense_prominence,final,3,13627,-0.4609920084476471,-0.10496871918439865,-0.08561103790998459,-0.5188336372375488,-0.1044909879565239,-0.0850628912448883,0.5625,0.24,0.66,0.445,0.16,0.38,True,True
22,tense_prominence,final,4,164,0.4224143326282501,0.3032252788543701,0.2209516018629074,0.4654510021209717,0.3150086998939514,0.2242739349603653,1.0,1.0,1.0,0.635,0.54,0.54,True,True
22,tense_prominence,final,5,12897,-0.41112020611763,-0.20946283638477325,-0.05053577572107315,-0.45043256878852844,-0.21206188201904297,-0.05009187012910843,1.0,1.0,1.0,0.6725,0.58,0.52,True,True
22,tense_prominence,final,6,8686,-0.40280428528785706,-0.36170345544815063,-0.0883258581161499,-0.4395352602005005,-0.3840724527835846,-0.08778122067451477,1.0,1.0,1.0,0.6775,0.66,0.5,True,True
22,tense_prominence,final,7,4825,-0.4012148082256317,-0.22966089844703674,-0.2761392891407013,-0.4374673366546631,-0.233596533536911,-0.28442302346229553,1.0,1.0,1.0,0.59,0.54,0.54,True,True
22,tense_prominence,final,8,12998,-0.3621107339859009,-0.3029758930206299,-0.3403887152671814,-0.3879886567592621,-0.314723402261734,-0.3583676815032959,0.9775,0.98,1.0,0.6375,0.64,0.62,True,True
22,tense_prominence,final,9,2375,-0.35576048493385315,-0.0041047255508601665,0.05647376552224159,-0.3801884949207306,-0.004063505679368973,0.05599553883075714,1.0,1.0,1.0,0.635,0.64,0.52,True,False
22,tense_prominence,final,10,13190,-0.3546382486820221,0.14507251977920532,-0.20207855105400085,-0.3788166344165802,0.14515002071857452,-0.20426158607006073,0.2075,0.18,0.12,0.19,0.12,0.08,False,True
22,tense_prominence,final,11,5159,0.34409621357917786,0.2731132507324219,0.1295565366744995,0.366016685962677,0.28105342388153076,0.12934453785419464,1.0,1.0,1.0,0.59,0.58,0.52,True,True
22,tense_prominence,final,12,3874,0.3405236601829529,0.19694921374320984,0.11577864736318588,0.3617149591445923,0.19886484742164612,0.11539104580879211,0.3725,0.24,0.22,0.2725,0.16,0.12,True,True
22,tense_prominence,final,13,13304,0.3392271101474762,0.2998183071613312,0.44405731558799744,0.3601585924625397,0.311117559671402,0.4906195402145386,1.0,1.0,1.0,0.6225,0.72,0.72,True,True
22,tense_prominence,final,14,9465,0.3358690142631531,0.22328056395053864,0.20012728869915009,0.35613733530044556,0.22676125168800354,0.2022065669298172,1.0,1.0,1.0,0.505,0.6,0.56,True,True
22,tense_prominence,final,15,2352,0.3291257321834564,0.3902898132801056,0.3899703323841095,0.34810757637023926,0.4196487367153168,0.41924354434013367,0.4075,0.42,0.46,0.27,0.3,0.36,True,True
22,tense_prominence,final,16,14795,0.32807445526123047,0.24898669123649597,0.10261009633541107,0.3468625545501709,0.2544991970062256,0.10211783647537231,1.0,1.0,1.0,0.565,0.62,0.52,True,True
22,tense_prominence,final,17,12178,0.32402053475379944,0.31036821007728577,0.240403950214386,0.3420700430870056,0.3232101500034332,0.24517811834812164,1.0,1.0,1.0,0.5475,0.6,0.54,True,True
22,tense_prominence,final,18,9390,0.32223254442214966,0.49384811520576477,0.40016552805900574,0.33996307849884033,0.5622283220291138,0.43226227164268494,1.0,1.0,1.0,0.6025,0.76,0.58,True,True
22,tense_prominence,final,19,14004,0.3116788864135742,0.25693368911743164,0.1504654884338379,0.3276081085205078,0.26318681240081787,0.15066853165626526,1.0,1.0,1.0,0.5025,0.56,0.56,True,True
22,tense_prominence,final,20,8006,0.3042900860309601,0.15487685799598694,0.26974961161613464,0.3190373182296753,0.15519288182258606,0.2773185074329376,0.5,0.5,0.5,0.335,0.34,0.28,True,True
22,tense_prominence,final,21,14043,-0.2982831597328186,-0.23554937541484833,-0.2646321952342987,-0.3121189773082733,-0.239933043718338,-0.271657258272171,0.3075,0.26,0.16,0.2275,0.18,0.14,True,True
22,tense_prominence,final,22,8182,0.2971201539039612,0.0984785407781601,0.1788250356912613,0.3107837438583374,0.09796497970819473,0.1799280345439911,1.0,1.0,1.0,0.5275,0.56,0.54,True,True
22,tense_prominence,final,23,3044,0.2956087291240692,0.29682424664497375,0.0548522025346756,0.309051513671875,0.30770882964134216,0.05438278615474701,0.53,0.36,0.26,0.34,0.28,0.16,True,True
22,tense_prominence,final,24,6051,0.2955228090286255,0.4577253460884094,0.1897994428873062,0.3089524805545807,0.5096482634544373,0.1913703829050064,1.0,1.0,1.0,0.6525,0.74,0.5,True,True
22,tense_prominence,final,25,5697,0.29067814350128174,0.23273995518684387,0.07032908499240875,0.30341580510139465,0.236906498670578,0.06979507207870483,1.0,1.0,1.0,0.5775,0.68,0.52,True,True
23,aspect_and_event_structure,mean,1,701,-0.7055163979530334,-0.27856433391571045,0.3576398491859436,-0.9942710399627686,-0.2871299386024475,0.37912049889564514,0.6625,0.2,0.3,0.6125,0.12,0.26,True,False
23,aspect_and_event_structure,mean,2,6216,-0.7045249938964844,-0.259358674287796,0.29094454646110535,-0.9914960861206055,-0.26584911346435547,0.3010435700416565,0.6275,0.22,0.54,0.5425,0.14,0.32,True,False
23,aspect_and_event_structure,mean,3,15885,-0.7013970017433167,0.0,0.4700901210308075,-0.9828125238418579,0.0,0.5272555351257324,0.5,0.0,0.32,0.5,0.0,0.28,False,False
23,aspect_and_event_structure,mean,4,4804,-0.699180543422699,0.0,0.4833337068557739,-0.9767276644706726,0.0,0.5465572476387024,0.5,0.0,0.26,0.5,0.0,0.26,False,False
23,aspect_and_event_structure,mean,5,13189,-0.6953719854354858,-0.025534365326166153,0.5016527771949768,-0.9663972854614258,-0.025285974144935608,0.5740707516670227,0.5625,0.12,0.32,0.5275,0.06,0.28,True,False
23,aspect_and_event_structure,mean,6,4871,-0.6942877769470215,0.24232803285121918,0.3419230580329895,-0.963487446308136,0.2472623735666275,0.3601963222026825,0.5,0.06,0.12,0.5,0.06,0.12,False,False
23,aspect_and_event_structure,mean,7,4874,-0.6932970881462097,-0.23901747167110443,0.29593154788017273,-0.9608388543128967,-0.24367809295654297,0.306694358587265,0.5875,0.24,0.64,0.5125,0.14,0.42,True,False
23,aspect_and_event_structure,mean,8,14790,-0.6853486895561218,0.0,0.4875187277793884,-0.9399591088294983,0.0,0.5527567863464355,0.52,0.0,0.3,0.5075,0.0,0.26,False,False
23,aspect_and_event_structure,mean,9,11197,-0.6804637312889099,0.0,0.4526672959327698,-0.9274415373802185,0.0,0.5025548934936523,0.6225,0.0,0.24,0.535,0.0,0.22,False,False
23,aspect_and_event_structure,mean,10,3638,-0.6778869032859802,0.29113855957984924,0.3332359790802002,-0.9209335446357727,0.30126291513442993,0.3498849868774414,0.5275,0.1,0.58,0.525,0.1,0.4,False,False
23,aspect_and_event_structure,mean,11,1349,-0.674236536026001,0.0,0.5174074172973633,-0.9118194580078125,0.0,0.598555326461792,0.5,0.0,0.34,0.5,0.0,0.32,False,False
23,aspect_and_event_structure,mean,12,2491,-0.6685181856155396,0.0,0.3014877140522003,-0.8977888226509094,0.0,0.31302252411842346,0.53,0.0,0.26,0.5075,0.0,0.22,False,False
23,aspect_and_event_structure,mean,13,5159,-0.6609816551208496,-0.2588813602924347,-0.14589953422546387,-0.879734992980957,-0.2653246223926544,-0.14599542319774628,1.0,1.0,1.0,0.77,0.74,0.52,True,True
23,aspect_and_event_structure,mean,14,10398,-0.6554080247879028,-0.24314075708389282,0.4960138201713562,-0.8666881918907166,-0.24814367294311523,0.5654961466789246,0.4925,0.06,0.32,0.4925,0.06,0.3,True,False
23,aspect_and_event_structure,mean,15,12780,-0.6493298411369324,0.0,0.4385424852371216,-0.8527440428733826,0.0,0.48306435346603394,0.4625,0.0,0.26,0.455,0.0,0.2,False,False
23,aspect_and_event_structure,mean,16,8006,-0.6367119550704956,-0.2988750636577606,0.47794926166534424,-0.8246850967407227,-0.3100425899028778,0.5386524200439453,0.5025,0.5,0.5,0.4875,0.26,0.42,True,False
23,aspect_and_event_structure,mean,17,15932,0.6299753785133362,0.47091320157051086,-0.258759468793869,0.810166597366333,0.5284415483474731,-0.2651907205581665,0.615,0.64,0.82,0.5525,0.54,0.66,True,False
23,aspect_and_event_structure,mean,18,1838,0.6293519735336304,0.6306072473526001,-0.5687758922576904,0.8088381886482239,0.8043647408485413,-0.6845768094062805,1.0,0.96,0.96,0.745,0.74,0.72,True,False
23,aspect_and_event_structure,mean,19,12998,0.6252953410148621,-0.12498559802770615,-0.48191821575164795,0.8002598881721497,-0.12470731884241104,-0.5444713234901428,1.0,1.0,1.0,0.76,0.56,0.74,False,False
23,aspect_and_event_structure,mean,20,1343,0.624597430229187,0.4546242654323578,-0.27523764967918396,0.7987948060035706,0.505291759967804,-0.28341802954673767,0.615,0.64,0.82,0.5525,0.54,0.66,True,False
23,aspect_and_event_structure,mean,21,9465,-0.6244847774505615,-0.36584174633026123,-0.07530125230550766,-0.7985589504241943,-0.38914117217063904,-0.0747566744685173,1.0,1.0,1.0,0.8075,0.76,0.52,True,True
23,aspect_and_event_structure,mean,22,12096,-0.6238492727279663,0.28176867961883545,0.4895613193511963,-0.7972273230552673,0.2907158434391022,0.5558008551597595,0.605,0.08,0.64,0.52,0.08,0.44,False,False
23,aspect_and_event_structure,mean,23,12915,0.6227562427520752,0.4061928987503052,-0.14783959090709686,0.7949439883232117,0.44004806876182556,-0.14797982573509216,0.615,0.64,0.74,0.5525,0.54,0.58,True,False
23,aspect_and_event_structure,mean,24,1740,0.6225599646568298,0.485007643699646,-0.29142865538597107,0.7945351004600525,0.5490310192108154,-0.3015909492969513,0.615,0.64,0.82,0.5525,0.54,0.66,True,False
