variable_id,variable,pooling,rank,feature_id,train_effect,val_effect,test_effect,val_same_direction,test_same_direction,p_unadjusted,p_maxT,train_fwer_significant,holdout_direction_survival,full_survival
7,voice_and_agent_prominence,mean,24,14043,-0.8543338179588318,-0.8825355768203735,-0.8125735521316528,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,mean,25,2054,-0.8479841947555542,-0.8221443295478821,-0.224424347281456,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,final,1,15282,-0.7936728000640869,-0.8576043844223022,-0.8378788232803345,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,final,2,10074,-0.7858825325965881,-0.8119274973869324,-0.440500944852829,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,final,3,443,0.7753692865371704,0.9110001921653748,0.0642070546746254,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,final,4,14004,-0.7350976467132568,-0.8758082985877991,-0.7998847961425781,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,final,5,6047,-0.725066065788269,-0.7364169955253601,-0.6173073649406433,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,final,6,7918,-0.7016059756278992,-0.7976640462875366,-0.5640093684196472,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,final,7,6102,0.6902041435241699,0.5814056396484375,0.3475582003593445,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,final,8,1828,0.6733402013778687,0.8787626028060913,0.05424901843070984,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,final,9,4923,0.6624754667282104,0.644560694694519,0.27385491132736206,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,final,10,16200,-0.6037888526916504,-0.5889122486114502,-0.24463045597076416,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,final,11,10152,-0.592023491859436,-0.6949745416641235,-0.3287413418292999,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,final,12,8006,-0.5444156527519226,-0.8043453097343445,-0.5012455582618713,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,final,13,12178,-0.5437372922897339,-0.741312563419342,-0.5116217732429504,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
7,voice_and_agent_prominence,final,14,1633,-0.5419049859046936,-0.7521820664405823,-0.8126688003540039,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True
