variable_id,variable,target_feature,intervention_side,control_rank,control_feature,matching_distance,target_side_mean_activation,control_side_mean_activation,target_side_fire_rate,control_side_fire_rate,target_decoder_norm,control_decoder_norm
36,genericity_and_kind_level_reference,1858,changed,3,14441,0.2583257965186816,0.007848763838410378,0.004502426832914352,0.32249999046325684,0.19499999284744263,1.0,1.0
37,social_deixis_honorifics_status_encoding,2081,changed,1,8551,0.014762482004549375,0.03162135183811188,0.046963609755039215,0.8324999809265137,0.8324999809265137,1.0,1.0
37,social_deixis_honorifics_status_encoding,2081,changed,2,1302,0.016830984288565574,0.03162135183811188,0.049131497740745544,0.8324999809265137,0.8324999809265137,1.0,1.0
37,social_deixis_honorifics_status_encoding,2081,changed,3,5205,0.1352295961242933,0.03162135183811188,0.010961750522255898,0.8324999809265137,0.7749999761581421,1.0,1.0
38,speech_act_force_and_request_directness,14406,changed,1,11810,0.023745736172670596,0.00923178531229496,0.0054585812613368034,0.29499998688697815,0.3050000071525574,1.0,1.0
38,speech_act_force_and_request_directness,14406,changed,2,758,0.04483298201732451,0.00923178531229496,0.0043659755028784275,0.29499998688697815,0.3149999976158142,1.0,1.0
38,speech_act_force_and_request_directness,14406,changed,3,4426,0.13831363805023672,0.00923178531229496,0.005893141496926546,0.29499998688697815,0.36250001192092896,1.0,1.0
39,deixis_and_perspective_anchoring,14441,basis,1,5205,0.15013866706403492,0.015802428126335144,0.010595927014946938,0.6075000166893005,0.6800000071525574,1.0,1.0
39,deixis_and_perspective_anchoring,14441,basis,2,6216,0.19601869833523122,0.015802428126335144,0.021934613585472107,0.6075000166893005,0.512499988079071,1.0,1.0
39,deixis_and_perspective_anchoring,14441,basis,3,6618,0.22124690304774644,0.015802428126335144,0.05329761654138565,0.6075000166893005,0.699999988079071,1.0,1.0
40,orthographic_and_tokenization_interface,3132,basis,1,15325,0.040005046537548744,0.003597429720684886,0.00863304641097784,0.2549999952316284,0.27250000834465027,1.0,1.0
40,orthographic_and_tokenization_interface,3132,basis,2,8235,0.08107645533581244,0.003597429720684886,0.00251766643486917,0.2549999952316284,0.2150000035762787,1.0,1.0
40,orthographic_and_tokenization_interface,3132,basis,3,14406,0.10101859809269625,0.003597429720684886,0.0025756817776709795,0.2549999952316284,0.20499999821186066,1.0,1.0
