variable_id,variable,inspection_grade,ablation_role,target_feature,intervention_side,baseline_downstream_score,intervention_downstream_score,mean_attenuation,attenuation_fraction,attenuation_ci_low,attenuation_ci_high,attenuation_bootstrap_p,mean_final_repr_cosine_to_baseline,target_train_basis_mean_activation,target_train_changed_mean_activation,target_train_basis_fire_rate,target_train_changed_fire_rate,matched_control_mean_attenuation,target_minus_control_attenuation,target_minus_control_ci_low,target_minus_control_ci_high,target_minus_control_bootstrap_p,target_vs_control_fdr_q,control_features,causal_screen_category,final_repr_distortion,abs_attenuation_fraction
16,gender_noun_class,A,primary_causal,5205,changed,1.259529709815979,1.0418579578399658,0.2176717770099639,0.1728198829400907,0.1936021889448166,0.2431599680036306,0.000999500249875,0.9998855479626662,0.054385919123888,0.1780910640954971,0.625,0.915000021457672,-0.0104389116168022,0.2281106891483068,0.1992441735118627,0.2535874445824884,0.000999500249875,0.0016658337497916665,"7247,8041,9728",specific_positive,0.00011445203733384535,0.1728198829400907
17,animacy_and_humanness,D,diagnostic_control,6618,changed,0.7751635909080505,0.6413155198097229,0.1338481151312589,0.1726707971080854,0.1087561266347766,0.160479421261698,0.000999500249875,0.9999538745170636,0.0297708418220281,0.0509397126734256,0.7724999785423279,0.8274999856948853,-0.0050292476080358,0.1388773633027449,0.1115884150875499,0.1648137116092257,0.000999500249875,0.0016658337497916665,"5205,7247,8041",specific_positive,4.6125482936365536e-05,0.1726707971080854
6,transitivity_valency,C,exploratory_causal,164,changed,0.849962055683136,0.793653666973114,0.0563083413243293,0.0662480647786952,0.0474652159884572,0.0653691095933318,0.000999500249875,0.9997688628632292,0.4713744223117828,0.5872239470481873,1.0,1.0,-0.000525239680428,0.0568335809931159,0.047574302945286,0.0653876529335975,0.000999500249875,0.0016658337497916665,"7247,8041,9728",specific_positive,0.00023113713677080927,0.0662480647786952
21,possession_and_alienability,C,exploratory_causal,15325,changed,0.5295239090919495,0.4983448088169098,0.0311791571974754,0.0588814908300227,0.0182171157859265,0.0453781831152737,0.000999500249875,0.999981673274182,0.0364062786102294,0.0871239751577377,0.962499976158142,0.9725000262260436,-0.002640986116603,0.0338201429136097,0.0215303070336813,0.047962819026201,0.000999500249875,0.0016658337497916665,"4426,7247,8041",specific_positive,1.8326725818029743e-05,0.0588814908300227
11,agreement_indexing_density,C,exploratory_causal,758,changed,1.262274146080017,1.231370210647583,0.0309038568660616,0.0244826822778818,0.0207415181659162,0.041214439548552,0.000999500249875,0.9999659736997992,0.0120063731446862,0.0751966834068298,0.5425000190734863,0.9399999976158142,-0.0018447740003466,0.0327486310328822,0.0227391802537895,0.0424357099542976,0.000999500249875,0.0016658337497916665,"7247,5205,8041",specific_positive,3.402630020077346e-05,0.0244826822778818
23,aspect_and_event_structure,B,causal_worth_testing,6216,basis,-0.2285914421081543,-0.2306834012269973,0.0020919579267501,0.0091515146300201,0.0003006353899836,0.0042388375177979,0.0179910044977511,0.9999990838327172,0.0300694461911916,0.0081170285120606,0.675000011920929,0.4375,-0.0098385624587535,0.0119305198010988,0.0080310696839587,0.0166490312938694,0.000999500249875,0.0016658337497916665,"8685,6618,758",specific_positive,9.161672828161826e-07,0.0091515146300201
20,pronoun_richness_and_reduction,A,primary_causal,6944,basis,0.4315686523914337,0.4267222583293915,0.0048463994264602,0.0112297299620931,0.0028208420369774,0.0068843513019382,0.000999500249875,0.9999987618889086,0.0265700910240411,0.0028541511856019,0.9024999737739564,0.3700000047683716,-0.0068673132918775,0.0117137125704903,0.0088639908411423,0.0147384975159366,0.000999500249875,0.0016658337497916665,"8041,9728,6618",specific_positive,1.238111091428351e-06,0.0112297299620931
24,modality_and_mood,A,primary_causal,13197,changed,0.1664737910032272,0.1581401973962783,0.0083335989341139,0.0500595251894781,0.0051984977377578,0.0117609629472717,0.000999500249875,0.999996305497667,0.0049075125716626,0.0268363412469625,0.2824999988079071,0.5375000238418579,-0.002287991112098,0.0106215898586378,0.0071617422689014,0.0141810550968002,0.000999500249875,0.0016658337497916665,"15325,6618,5205",specific_positive,3.6945023329515436e-06,0.0500595251894781
27,mirativity_stance_and_affect_marking,C,exploratory_causal,1887,changed,0.7793334126472473,0.7751731276512146,0.0041602659225463,0.0053382363119973,0.0037020117938518,0.0046100559085607,0.000999500249875,0.9999996436787996,0.0008605422917753,0.0363717563450336,0.1000000014901161,1.0,-0.006421057973057,0.010581324819941,0.0094485472374944,0.0117166006787447,0.000999500249875,0.0016658337497916665,"8041,9728,7247",specific_positive,3.5632120043427307e-07,0.0053382363119973
32,quotation_and_reported_speech_structure,B,causal_worth_testing,1754,basis,1.1416685581207275,1.134130597114563,0.0075379133224487,0.0066025408765366,0.0046872870028018,0.0103548757284879,0.000999500249875,0.9999935192708496,0.0429769121110439,0.0005965440068393,0.7524999976158142,0.0724999979138374,-0.0014862535754218,0.0090241670992691,0.0062507666376768,0.0118020679246692,0.000999500249875,0.0016658337497916665,"6618,5205,11461",specific_positive,6.480729150437625e-06,0.0066025408765366
1,Subject expression / pro-drop,C,exploratory_causal,8041,changed,0.5156303644180298,0.5110974311828613,0.0045329070091247,0.0087910009222223,0.0024079536348581,0.0065885317623615,0.000999500249875,0.9999849360787584,0.037930179387331,0.0450269319117069,1.0,1.0,-0.0039578606374561,0.0084907678444869,0.0058582967476104,0.0110628130471159,0.000999500249875,0.0016658337497916665,"9728,7247,1302",specific_positive,1.506392124162037e-05,0.0087910009222223
29,quantifier_scope_and_distributivity,B,causal_worth_testing,8551,changed,0.3841851353645324,0.3783644437789917,0.0058206575363874,0.0151506578484993,0.0045339340474456,0.0071191341150552,0.000999500249875,0.9999970057717406,0.0277374740689992,0.0508326813578605,0.762499988079071,0.9075000286102296,-0.0024754086043685,0.008296066053881,0.0066725506294933,0.0100181229292065,0.000999500249875,0.0016658337497916665,"1858,7247,9728",specific_positive,2.9942282594452863e-06,0.0151506578484993
10,morphological_segmentation_type,B,causal_worth_testing,15843,changed,0.4737160205841064,0.4674606621265411,0.0062553932145237,0.0132049433473047,0.0041568467020988,0.0083380547156557,0.000999500249875,0.9999971629444054,0.0097396178171038,0.0349879302084445,0.4375,0.8100000023841858,-0.0001960279769264,0.0064514211974892,0.0046729594829866,0.0084479002766402,0.000999500249875,0.0016658337497916665,"8685,6618,5205",specific_positive,2.8370555945622655e-06,0.0132049433473047
37,social_deixis_honorifics_status_encoding,A,primary_causal,2081,changed,0.8211658000946045,0.8162838816642761,0.0048819093592464,0.0059450958121783,0.0039591482882387,0.0058031214238144,0.000999500249875,0.99999928361671,0.0030382585246115,0.0316213592886924,0.2025000005960464,0.8324999809265137,0.0001082803646568,0.0047736289992462,0.0037769309818686,0.0057724511676351,0.000999500249875,0.0016658337497916665,"8551,1302,5205",specific_positive,7.163832900225486e-07,0.0059450958121783
14,definiteness_and_specificity,C,exploratory_causal,12995,basis,0.5032537579536438,0.498972624540329,0.0042810952663421,0.0085068321869074,0.0017105078101158,0.0071465144455432,0.000999500249875,0.9999984955700107,0.0144474152475595,0.0037105912342667,0.3274999856948852,0.2074999958276748,0.0001006956008495,0.0041803996515227,0.0017801863072236,0.0070736850090179,0.000999500249875,0.0016658337497916665,"3132,13197,15325",specific_positive,1.504429989251932e-06,0.0085068321869074
19,inclusive_exclusive_distinction,C,exploratory_causal,6062,basis,0.1516138911247253,0.1505045443773269,0.0011093364655971,0.0073168524161454,0.0003029567599296,0.0019242124557495,0.0109945027486256,0.9999994298447058,0.0197402946650981,0.0119977183640003,0.9950000047683716,0.925000011920929,-0.0021235379390418,0.0032328743790276,0.0023195359884703,0.0041938227423524,0.000999500249875,0.0016658337497916665,"9728,8041,15325",specific_positive,5.701552941994592e-07,0.0073168524161454
36,genericity_and_kind_level_reference,D,diagnostic_control,1858,changed,0.6099789142608643,0.6078285574913025,0.0021504014730453,0.0035253701771823,0.0009809435009956,0.0035669219344854,0.000999500249875,0.9999992584667844,0.0017867949791252,0.0078487629070878,0.147499993443489,0.3224999904632568,-1.1595682735787705e-05,0.0021619971864856,0.001066247728886,0.0034768939062123,0.000999500249875,0.0016658337497916665,"6944,4426,14441",specific_positive,7.415332156091026e-07,0.0035253701771823
9,analytic_vs_synthetic_encoding,C,exploratory_causal,144,basis,0.7025106549263,0.7007964253425598,0.0017141475528478,0.0024400306825633,0.0006519353240728,0.0029181761238723,0.000999500249875,0.9999993032125812,0.0112659288570284,0.001104840543121,0.3125,0.0450000017881393,-0.000410808424931,0.0021249560196883,0.0003818635588104,0.0039799716440611,0.0139930034982508,0.019990004997501143,"758,6216,6900",specific_positive,6.967874187635559e-07,0.0024400306825633
38,speech_act_force_and_request_directness,C,exploratory_causal,14406,changed,0.3209699690341949,0.3203917741775512,0.0005782109498977,0.0018014487512262,8.582055568695068e-05,0.0013723527193069,0.032983508245877,0.9999999109189832,0.0012294435873627,0.0092317853122949,0.0549999997019767,0.2949999868869781,-0.0004271636425983,0.0010053745937329,0.0004418100093207,0.0017002176864043,0.0019990004997501,0.003075385384230923,"11810,758,4426",specific_positive,8.908101678528624e-08,0.0018014487512262
