variable_id,variable,primary_mechanistic,inspection_grade,ablation_category,steering_category,split,dose,primary_dose,intervention_kind,target_feature,intervention_feature,feature_high_side,train_target_activation_gap,steering_coefficient,n_pairs,bos_fallback_pairs,baseline_mean_logit_margin,steered_mean_logit_margin,mean_behavioral_effect,behavioral_effect_ci_low,behavioral_effect_ci_high,behavioral_effect_bootstrap_p,baseline_high_token_preference_rate,steered_high_token_preference_rate,high_token_preference_rate_change
33,discourse_relation_marking,False,D,null_or_reverse,specific_positive,test,2.0,False,matched_control,9728,7247,basis,0.0019506383687258,0.0039012767374516,50,26,-1.8880289459228516,-1.8877518272399902,0.0002771186828613281,3.6846637725830076e-05,0.0004983854293823241,0.026986506746626688,0.32,0.32,0.0
33,discourse_relation_marking,False,D,null_or_reverse,specific_positive,test,2.0,False,matched_control,9728,6618,basis,0.0019506383687258,0.0039012767374516,50,26,-1.8880289459228516,-1.8882411956787108,-0.000212249755859375,-0.0005002222061157226,7.197237014770492e-05,0.14292853573213393,0.32,0.32,0.0
33,discourse_relation_marking,False,D,null_or_reverse,specific_positive,test,2.0,False,target_vs_controls,9728,-1,basis,0.0019506383687258,,50,26,-1.8880289459228516,,-0.00028848648071289057,-0.0005358705520629881,-3.1733036041259755e-05,0.03298350824587706,0.32,,
34,topic_comment_structure,False,D,positive_nonspecific,positive_nonspecific,val,0.5,False,target,1302,1302,changed,0.0049818903207779,0.00249094516038895,50,7,2.2431791114807127,2.243256607055664,7.749557495117188e-05,-5.4669857025146476e-05,0.0002136054039001464,0.25287356321839083,0.58,0.58,0.0
34,topic_comment_structure,False,D,positive_nonspecific,positive_nonspecific,val,0.5,False,matched_control,1302,1887,changed,0.0049818903207779,0.00249094516038895,50,7,2.2431791114807127,2.2431589698791505,-2.01416015625e-05,-0.0001755671501159668,0.0001496167182922361,0.7856071964017991,0.58,0.58,0.0
34,topic_comment_structure,False,D,positive_nonspecific,positive_nonspecific,val,0.5,False,matched_control,1302,8041,changed,0.0049818903207779,0.00249094516038895,50,7,2.2431791114807127,2.2433196258544923,0.00014051437377929688,-1.463794708251953e-05,0.0002960972785949707,0.07396301849075462,0.58,0.58,0.0
34,topic_comment_structure,False,D,positive_nonspecific,positive_nonspecific,val,0.5,False,matched_control,1302,7247,changed,0.0049818903207779,0.00249094516038895,50,7,2.2431791114807127,2.242861270904541,-0.000317840576171875,-0.0005121450424194336,-0.00012233591079711915,0.0029985007496251873,0.58,0.58,0.0
34,topic_comment_structure,False,D,positive_nonspecific,positive_nonspecific,val,0.5,False,target_vs_controls,1302,-1,changed,0.0049818903207779,,50,7,2.2431791114807127,,0.00014331817626953125,-2.861785888671875e-05,0.0002956792513529459,0.10194902548725637,0.58,,
34,topic_comment_structure,False,D,positive_nonspecific,positive_nonspecific,val,1.0,True,target,1302,1302,changed,0.0049818903207779,0.0049818903207779,50,7,2.2431791114807127,2.243325042724609,0.00014593124389648438,-0.00012022209167480469,0.0004240074157714839,0.31784107946026985,0.58,0.58,0.0
34,topic_comment_structure,False,D,positive_nonspecific,positive_nonspecific,val,1.0,True,matched_control,1302,1887,changed,0.0049818903207779,0.0049818903207779,50,7,2.2431791114807127,2.243129081726074,-5.0029754638671876e-05,-0.00036433172225952147,0.00029425430297851546,0.7306346826586707,0.58,0.58,0.0
34,topic_comment_structure,False,D,positive_nonspecific,positive_nonspecific,val,1.0,True,matched_control,1302,8041,changed,0.0049818903207779,0.0049818903207779,50,7,2.2431791114807127,2.2434499740600584,0.0002708625793457031,-3.292036056518554e-05,0.0005608143806457514,0.08595702148925537,0.58,0.58,0.0
34,topic_comment_structure,False,D,positive_nonspecific,positive_nonspecific,val,1.0,True,matched_control,1302,7247,changed,0.0049818903207779,0.0049818903207779,50,7,2.2431791114807127,2.2425505256652833,-0.0006285858154296875,-0.0010329546928405761,-0.00023607635498046895,0.0009995002498750624,0.58,0.58,0.0
34,topic_comment_structure,False,D,positive_nonspecific,positive_nonspecific,val,1.0,True,target_vs_controls,1302,-1,changed,0.0049818903207779,,50,7,2.2431791114807127,,0.00028184890747070314,-5.139780044555666e-05,0.0005943260192871094,0.08295852073963018,0.58,,
34,topic_comment_structure,False,D,positive_nonspecific,positive_nonspecific,val,2.0,False,target,1302,1302,changed,0.0049818903207779,0.0099637806415558,50,7,2.2431791114807127,2.2434795188903807,0.00030040740966796875,-0.00024890089035034177,0.0008423261642456054,0.2978510744627686,0.58,0.58,0.0
