variable_id,variable,inspection_grade,ablation_role,split,target_feature,intervention_side,control_features,target_mean_attenuation,matched_control_mean_attenuation,target_minus_control_attenuation,target_minus_control_ci_low,target_minus_control_ci_high,target_minus_control_bootstrap_p
30,conditional_and_counterfactual_marking,B,causal_worth_testing,val,11810,changed,"6944,758,6216",-5.312025677994825e-05,-2.1200570699875243e-05,-3.191967814927921e-05,-0.0005761745928612072,0.0005085487442993325,0.8685657171414293
30,conditional_and_counterfactual_marking,B,causal_worth_testing,test,11810,changed,"6944,758,6216",3.275096241850406e-05,-0.00016909213445615023,0.0002018430974567309,-0.0002124256439128658,0.0006153579252058988,0.34782608695652173
31,subordination_and_embedding,B,causal_worth_testing,val,11461,changed,"7247,8041,9728",0.002174857771024108,0.0038442807272076607,-0.0016694230725988746,-0.003964833241188899,0.0007145195634802795,0.16991504247876063
31,subordination_and_embedding,B,causal_worth_testing,test,11461,changed,"7247,8041,9728",0.000564115063752979,0.005587632767856121,-0.005023517945664935,-0.008389286971476395,-0.001641304741904606,0.00399800099950025
32,quotation_and_reported_speech_structure,B,causal_worth_testing,val,1754,basis,"6618,5205,11461",0.001225906889885664,-0.002753952518105507,0.003979859363753348,0.0017565546080586499,0.0062655378244526215,0.0009995002498750624
32,quotation_and_reported_speech_structure,B,causal_worth_testing,test,1754,basis,"6618,5205,11461",0.007537913508713245,-0.0014862535754218698,0.009024167099269106,0.006250766637676861,0.011802067924669245,0.0009995002498750624
33,discourse_relation_marking,D,diagnostic_control,val,9728,basis,"8041,7247,6618",-0.001097349333576858,-0.0028034832794219255,0.0017061339947395027,-0.0006579502485692501,0.004110757227870632,0.1629185407296352
33,discourse_relation_marking,D,diagnostic_control,test,9728,basis,"8041,7247,6618",-0.0020129354670643806,-0.0015139640308916569,-0.000498971522320062,-0.003429942487797234,0.002498209422803483,0.7276361819090454
34,topic_comment_structure,D,diagnostic_control,val,1302,changed,"1887,8041,7247",0.002037827856838703,0.007948340848088264,-0.00591051269788295,-0.007205103030952159,-0.004624703155190219,0.0009995002498750624
34,topic_comment_structure,D,diagnostic_control,test,1302,changed,"1887,8041,7247",0.0025065902154892683,0.006939800921827555,-0.004433211226714775,-0.005933409016666701,-0.0031118089957453787,0.0009995002498750624
35,focus_and_given_new_marking,B,causal_worth_testing,val,7136,changed,"1385,1887,932",0.0007040174095891416,0.001638778718188405,-0.0009347613670979627,-0.001400456211900746,-0.0004949651576316687,0.0009995002498750624
35,focus_and_given_new_marking,B,causal_worth_testing,test,7136,changed,"1385,1887,932",-2.1061970983282663e-05,0.0016107585979625583,-0.0016318205271090847,-0.002172489936248894,-0.001115273614268517,0.0009995002498750624
36,genericity_and_kind_level_reference,D,diagnostic_control,val,1858,changed,"6944,4426,14441",0.000284744513919577,0.00013841886539012194,0.0001463256316492334,-0.0002538594126526732,0.0006517155511101002,0.511744127936032
36,genericity_and_kind_level_reference,D,diagnostic_control,test,1858,changed,"6944,4426,14441",0.002150401473045349,-1.1595682735787705e-05,0.002161997186485678,0.0010662477288860828,0.0034768939062123526,0.0009995002498750624
37,social_deixis_honorifics_status_encoding,A,primary_causal,val,2081,changed,"8551,1302,5205",0.000703390862327069,0.0014215686824172735,-0.000718177808157634,-0.0013277142765218742,-5.974777685332916e-05,0.028985507246376812
37,social_deixis_honorifics_status_encoding,A,primary_causal,test,2081,changed,"8551,1302,5205",0.00488190958276391,0.0001082803646568209,0.004773628999246284,0.003776930981868645,0.005772451167635153,0.0009995002498750624
38,speech_act_force_and_request_directness,C,exploratory_causal,val,14406,changed,"11810,758,4426",-0.00027579121524468064,0.00023933866759762168,-0.0005151298700366169,-0.00123610485446261,0.00015368907295487571,0.15092453773113443
38,speech_act_force_and_request_directness,C,exploratory_causal,test,14406,changed,"11810,758,4426",0.0005782109219580889,-0.0004271636425983161,0.001005374593732995,0.00044181000932076134,0.0017002176864043574,0.001999000499750125
39,deixis_and_perspective_anchoring,A,primary_causal,val,14441,basis,"5205,6216,6618",0.0004790782986674458,0.006312479265034199,-0.00583340105949901,-0.007457024142437149,-0.004323156155442123,0.0009995002498750624
39,deixis_and_perspective_anchoring,A,primary_causal,test,14441,basis,"5205,6216,6618",0.0008001402020454407,0.002044499618932605,-0.0012443593790521846,-0.003101059215769055,0.0004814759952860179,0.17991004497751126
40,orthographic_and_tokenization_interface,B,causal_worth_testing,val,3132,basis,"15325,8235,14406",0.00015666669060010463,0.00044664888991974294,-0.0002899821968185279,-0.000581902972795433,1.110695751049206e-05,0.054972513743128434
40,orthographic_and_tokenization_interface,B,causal_worth_testing,test,3132,basis,"15325,8235,14406",0.00011191636440344155,0.0005111236241646111,-0.00039920726820128036,-0.0008721508434173301,3.1831818094360485e-05,0.07396301849075462
